tweet_id,doc,text
1575471340391391232,doc_2478,"🕯️A vehicle of company staff of 130th Territorial Defense Battalion hit a mine in a recently liberated area of #Kharkiv Oblast. The accident resulted in three Ukrainian casualties.
- Lt. Col. Ihor Bezohlyuk, company commander
- Andriy Zakharchuk
- Roman Khmel
#UkraineRussiaWar https://t.co/XzkFl4WqfJ"
1575462691640168449,doc_2537,"New EU Sanctions Against Russia to Target Over 1,300 People and Entities - Kyiv Post - Ukraine's Global Voice https://t.co/GeWszcFyBa #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews"
1575462325515165697,doc_2542,"😡 WOMAN WITH A SMALL BABY WAS CAPTURED BY POLICE  as a result of her protest against #MobilizationInRussia 

#StopRussiaNOW #UkraineRussiaWar #StandWithUkraine #SupportUkraine #StopPutin #StopRussia #RussiaInvadedUkraine #RussiaIsATerroristState #russia #Russians #mobilization https://t.co/ie00ZRsJOM"
1575457821210066944,doc_2582,"#Russia #Ukraine 
The Inside Story Of Ukraine Kharkiv Counteroffensive
Ukraine #NATO Video Archive

#Putin #Russian #Europe #RussianArmy #Russians #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA  
https://t.co/RIo20dUGHt"
1575457409111310340,doc_2599,"#Russia #Ukraine 
Dramatic Moment: Ukraine Counteroffensive Forces Russian Troops to Flee

Russian-Ukraine #NATO Video Archive
#Putin #Russian #Russie #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA
https://t.co/WEnWHJfE5U"
1575457220166311938,doc_2603,"Friendly fire of Russian air defense on their soldiers. More so shoot at your own. Ukrainians will have less work 😏
#Ukraine #UkraineRussiaWar #UkraineWar #RussiaIsATerroristState #Nordstream #mobilisation #ВСУ #ЗСУ #ВС_РФ #APU #мобилизация https://t.co/DvQm7prQwH"
1575453238110863366,doc_2624,#Russian officials may try to justify their occupation of annexed #Ukrainian territory as a “counterterrorism operation.” ~The Institute for the Study of War #counterterrorism #annexation #UkraineRussiaWar #UkraineWar
1575437386426769408,doc_2693,"Thread

#Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews https://t.co/5ZMH6ScECW"
1575424614443909120,doc_2732,"Warning: Graphic Content
Ukrainian #Drone Kills Russian Soldier
#Ukraine-#UkraineRussianWar -#UkraineWar -#UkraineRussiaWar-#Russian https://t.co/6Zi2sTfmze"
1575423032495153153,doc_2737,#UkraineRussiaWar #satellite #ICEYE #SupportUkraine #StandWithUkraine ICEYE satellite imagery yields first results on battlefield - Ukraine’s Defense Minister https://t.co/H7pZatWH4z
1575418508355190784,doc_2747,"Local RUS-appointed officials in Nova Kakhovka report: ""As a result of the night shelling by the AFU, residents of Kakhovka and Novaya Kakhovka were left without gas."" 

#UkraineRussiaWar 
#OSINT
#Fellas #NAFO"
1575418025070759936,doc_2748,"russians attacked the Dnipro city this morning. It is already known about 3 dead, among them 1 child. 
5 people are injured, including a 12-year-old girl.
More than 60 buildings were damaged. 

📸 Valentyn Reznichenko, Head of RSA. 
#RussiaisATerroistState #UkraineRussiaWar https://t.co/pj45zHFSu7"
1575415143382614017,doc_2757,"The Ukrainian army destroyed one Russian missile unit
#Ukraine-#UkraineRussianWar -#UkraineWar -#UkraineRussiaWar-#Russian https://t.co/DVcqCXsun0"
1575405656772935681,doc_2783,"#UKRAINERUSSIAWAR. Zelensky orders Liman's capture at any cost
#agcnews #ukraine #russia #war #referendum #annexion https://t.co/wFU2bNfUR6"
1575376834501427202,doc_2862,"29/9
🇺🇦⚡️🇷🇺
Hunting since the morning 🤫

#Ukraine #Ukrainian #UkraineKrieg #UkraineWar #UkraineRussiaWar #stopPutin #UkraineCounterOffensive #Donbass #Kherson #NATO #Europe #USA https://t.co/4evOgiZ14E"
1575370250563899392,doc_2904,#Russia staged so-called referendums in Ukraine. Here’s what could come next. https://t.co/EyVbWeV8xA #russiareferendum #ukraine #ukrainerussiawar
1575367701652017157,doc_2918,#UkraineRussiaWar #UkraineHeroes #Zaporizhzhia #UkraineWillWin #GloryToUkraine Ukraine Army destroys three enemy S-300 missile systems in Zaporizhzhia direction https://t.co/48Uu7LOx11
1575366272858079233,doc_2923,"Go fuck yourself, Putin!
(English)

#RussiaInvadedUkraine #UkraineRussiaWar #StopRussianAggression #RussianWarCrimes"
1575361522129571840,doc_2947,"Footage of the liberation of Kupiansk-Uzlovy and the emotions of local residents.

#RussiaInvadedUkraine #RussianUkrainewar #RussiaUkraineWar #Russia #UkraineRussianWar #UkraineRussiaWar #UkraineWar #UkrainianArmy #Ukraine #Kherson #Donbass #odessa #Kyiv #Kharkiv #NATO #USA https://t.co/FVMX73myDS"
1575358826936778752,doc_2958,"The downed US-made AGM-88 HARM anti-radar missile in Donetsk.

#Ukraine #Ukrainewar #UkraineRussiaWar https://t.co/EMK2A1nqpV"
1575347386490114048,doc_2995,"Ukraine and Russia: What you need to know right now https://t.co/gOKk73cbXG
#UkraineRussiaWar #RussianMobilization #RussiaUkraineConflict"
1575320030736261121,doc_3077,"Breaking: South Africa's #Eskom is on a critical electricity loadshedding mode &amp; President #Ramaphosa has accepted ""bribery money"" to supply #Germany &amp; #France with our coal. 
#SouthAfrica #UkraineRussiaWar #coal #EuropeanUnion #NordStream2 #USA #Nordstream1 #Russia #INDvsSA"
1575308914077335557,doc_3106,"Deadliest countries for journalists.
This @StatistaCharts chart shows the countries where the highest number of journalists/media assistants were killed in 2022 to-date. @rcfp @ICFJ #reporters @reporters_co @ARIJNetwork @ICIJorg @pressfreedom #Ukraine️ #Russia #UkraineRussiaWar https://t.co/5bDf5tfN99"
1575305092089188354,doc_3119,"Ukraine needs all of these type Support Vehicles they can get.
#Ukraine #UkraineWar #UkrainianArmy #UkraineRussiaWar #UkraineWillWin #Russia #Russian #RussianArmy https://t.co/0mKxjDuacB"
